Linux 5.3.0-51-generic (eclairmickey-ThinkPad-T450s) 	2020年05月20日 	_x86_64_	(4 CPU)

16時17分31秒     CPU     %user     %nice   %system   %iowait    %steal     %idle
16時17分32秒     all     24.19      0.00      8.53      0.00      0.00     67.28
16時17分32秒       0      1.01      0.00      0.00      0.00      0.00     98.99
16時17分32秒       1    100.00      0.00      0.00      0.00      0.00      0.00
16時17分32秒       2      0.75      0.00     26.12      0.00      0.00     73.13
16時17分32秒       3      3.00      0.00      1.00      0.00      0.00     96.00

平均値:      CPU     %user     %nice   %system   %iowait    %steal     %idle
平均値:      all     24.19      0.00      8.53      0.00      0.00     67.28
平均値:        0      1.01      0.00      0.00      0.00      0.00     98.99
平均値:        1    100.00      0.00      0.00      0.00      0.00      0.00
平均値:        2      0.75      0.00     26.12      0.00      0.00     73.13
平均値:        3      3.00      0.00      1.00      0.00      0.00     96.00
