Linux 5.3.0-51-generic (eclairmickey-ThinkPad-T450s) 	2020年05月20日 	_x86_64_	(4 CPU)

16時43分53秒     CPU     %user     %nice   %system   %iowait    %steal     %idle
16時43分54秒     all     17.04      0.00      8.27      0.00      0.00     74.69
16時43分54秒       0      0.99      0.00      0.99      0.00      0.00     98.02
16時43分54秒       1     66.34      0.00     32.67      0.00      0.00      0.99
16時43分54秒       2      0.00      0.00      0.00      0.00      0.00    100.00
16時43分54秒       3      0.00      0.00      0.00      0.00      0.00    100.00

平均値:      CPU     %user     %nice   %system   %iowait    %steal     %idle
平均値:      all     17.04      0.00      8.27      0.00      0.00     74.69
平均値:        0      0.99      0.00      0.99      0.00      0.00     98.02
平均値:        1     66.34      0.00     32.67      0.00      0.00      0.99
平均値:        2      0.00      0.00      0.00      0.00      0.00    100.00
平均値:        3      0.00      0.00      0.00      0.00      0.00    100.00
